ten_cong_trinh,noi_xuat_ban,neo4j_id,nam_xuat_ban,dong_tac_gia
Maximum independent set in special graphs,"Kỷ yếu hội thảo quốc gia CNTT-TT lần 14, Nhà xuất bản Khoa học và Kỹ thuật – 2012, tr. 555",91,2012,
IMPACT: A Novel Clustering Algorithm based on Attraction,"Journal of Computers, Vol 7, No 3 (2012), 653-665, Mar 2012",92,2012,
Semantic and Structural Similarity Analysis for Integration of Ubiquitous XML Healthcare Data,"Journal of Personal and Ubiquitous Computing, ISSN: 1617-4909, 2012",93,2012,
S-Trans: Semantic Transformation of XML Healthcare Data into OWL Ontology,"Knowledge-Based System, 2012",94,2012,
R2Sim: A Novel Semantic Similarity Measure for Matching between RDF Schemas,"The 2012 FTRA International Conference on Advanced IT, engineering and Management (FTRA AIM 2012), Seoul, Korea, February 6-8, 2012",95,2012,
Improve recognition performance of Limabeam algorithm using MLLR Adaptaton for environment,"The conference of Computer Science of Dalat University, 12/2012",96,2012,
Independence of Redundant Attributes in The Attribute Reduction Algorithm,"International Journal of Advanced Research in Computer Science, Volume 3, No. 7, Nov-Dec 2012",97,2012,
Tiếp cận lý thuyết tập thô trong khai phá dữ liệu,"Tập san Tin học Quản lý –ĐH Kinh tế Tp HCM, Số 2-2012",98,2012,
DC servo postion controller design based on Direct Adaptive Fuzzy algorithm using dsPIC microcontroller,Hội nghị toàn quốc lần thứ VI về Cơ Điện tử VCM-2012,99,2012,
Ứng dụng FPGA trong thiết kế CPU theo kiến trúc MIPS,"Hội thảo Công nghệ Thông tin, Đại học Đà Lạt – 2012",100,2012,
A Semantic Approach for Transforming XML Data into RDF Ontology,"Wireless Personal Communications (WPC) (SCIE: 0.458), Special Issue: Advanced Information Technologies in Future Computing Environments, 2013",101,2013,['et al.']
ImproveRecognition Performance Of Limabeam Algorithm Using MLLR Adaptation For Environment,"The Journal of Insitute Embeded Enginering of Korea, 2013",102,2013,
Recogniton performance improvement of Unsupervised Limabeam Algorithm Using Post Filtering Technique,"The Journal of Insitute Embeded Enginering of Korea, 2013",103,2013,
Phương pháp xếp hạng thực thể dựa trên đánh giá người dùng,Tạp chí Khoa học và Công nghệ Năng lượng – 2013,104,2013,
Đánh giá hiệu quả bắt đặc trưng của khuôn mặt người qua video sử dụng thuật toán ASM phục vụ cho kĩ thuật MOCAP,"Hội thảo quốc gia lần thứ XVI: Một số vấn đề chọn lọc của Công nghệ thông tin và truyền thông- Đà Nẵng, 13-14/11/2013",105,2013,
4-Regular Graph of diameter 2,"Tạp chí Khoa học – Đại học Đà Lạt, số 6 tháng 10-2013",106,2013,
Some extensions of positive and negative rules for discovering basic interesting rules,"International Journal of Intelligent Information Systems, Vol 2, No 4, 2013",107,2013,
An Improvement of Method Handling Missing Values in Incomplete Information System,"International Journal of Advanced Research in Computer Science and Software Engineering, Vol 3, Issue 9, September 2013",108,2013,
Semantic and Structural Similarity between XML Schemas for integration of Ubiquitous healthcare data,"Journal of Personal and Ubiquitous Computing, Oct2013, Vol. 17 Issue 7, p1331",109,2013,
Bilevel Optimization as a Regularization Approach to Pseudomonotone Equilibrium Problems,Numerical Functional Analysis and Optimization – 03/2014,110,2014,
Context-aware image tagging with visual information inference,ACIS 12/2014 Proceedings – Vietnam,111,2014,
Estimation of Feature Enhancement on Handwritting Recognition by Combination between Diagonal Based and Dense Distribution Techniques,ACIS 12/2014 Proceedings – Vietnam,112,2014,
Lập Luận Mờ Cho Giai Đoạn Lựa Chọn Đối Tác Trong Thương Lượng Tự Động,"Hội thảo quốc gia 2014 về Điện tử, Truyền thông và Công nghệ thông tin – 09/2014",113,2014,
WebGis cho bảo tồn đa dạng sinh học Đồng bằng sông Cửu Long,Cần Thơ – 12/2014,114,2014,
Báo cáo hoạt động 6 tháng đầu năm và KH hoạt động năm 2014,Hợp tác phát triển CNTT và truyền thông VN lần thứ 18 – 08/2014 – Quảng Ninh,115,2014,
New measures for constructing decision tree based on rough sets and applications,"International Journal of Advanced Research in Computer Science, Volume 6, No.5",116,2015,
Computing the similarity between duplicate elements in XML schema,"International Journal of Advancements in Computing Technology, Vol. 7, No. 3",117,2015,
Một số ứng dụng lý thuyết tập thô trong kinh tế và tài chính,BISC 14 – Trường Đại học Kinh Tế HCM,118,2015,
Phylogenetic relationships of snappers (lutjanidae) based on mitochodrial DNA sequences,Marine biotechnology and environment – Nha Trang University,119,2015,
"WebGis for reef fishes biodiversity at Nha Trang and Cam Ranh bays in Khanh Hoa province, Vietnam",IICBE international conference 06/2015 – Singapore,120,2015,
Ứng dụng phần mềm Prezi trong xây dựng slides bài giảng/ báo cáo,Hội thảo khoa học Khoa tự nhiên lần 5 – Trường CĐSP Nha Trang,121,2015,
Tấn công Man In The Midle (MITM) trong mạng SDN và giải pháp,Hội thảo ICT Đại học Đà Lạt,126,2021,[]
Vai trò của yếu tố con người trong an toàn mạng,Hội thảo ICT Đại học Nha Trang,127,2019,[]
An Efficient and Low-Cost Hierarchical FANET Architecture Using the Attached Mobility Model to Create the Core Layer for Connecting UAVs and Ground Control Stations,"Journal of Advances in Information Technology, ESCI, Q3",128,2023,
CẢI THIỆN HIỆU NĂNG FANET ỨNG DỤNG TRONG TÌM KIẾM CỨU NẠN: THAM SỐ MÔ HÌNH DI ĐỘNG VÀ CHIẾN LƯỢC TRIỂN KHAI,FAIR'2023,129,2023,
Density peak clustering evaluation,"2023 25th International Conference on Advanced Communication Technology (ICACT), Pyeongchang, Korea, Republic of, pp. 126-129",130,2023,
" 11/2022""","Hội nghị khoa học quốc gia lần thứ XV về ""Nghiên cứu cơ bản và ứng dụng Công nghệ thông tin"""" (Fundamental and Applied Information Technology) - FAIR'2022",131, Học viện Kỹ thuật mật mã,2022
Một Thử Nghiệm Học Chuyển Giao Trong Bài Toán Phân Lớp Ảnh Siêu Âm Vú,"ICT2022, Đại học Thái Bình Dương, ISBN: 978-604-67-2385-1",132,2022,[]
CHỐNG TẤN CÔNG NGẬP LỤT GÓI RREQ TRÊN GIAO THỨC AODV CỦA MẠNG MANET,"Hội thảo Công nghệ thông tin và truyền thông- ICT2022 -Trường Đại học Thái Bình Dương, 15/7/2022",133,2022,
Một đề xuất cải tiến giao thức AODV chống tấn công lỗ đen trên mạng Manet dựa trên độ tin cậy,"Hội thảo Công nghệ thông tin và truyền thông- ICT2021, Trường, Đại học Đà Lạt, ISBN 978-604-67-2096-6",134,2021,
Luận văn cao học: Nghiên cứu thuật toán khai phá tập phổ biến Eclat và các biến thể,Luận văn Thạc sĩ,135,2019,[]
Đồ án tốt nghiệp Đại học: Nghiên cứu và xây dựng hệ thống nhận dạng mặt người dựa trên AdaBoots,Đồ án Tốt nghiệp,136,2008,[]
GPSR-RA: A Cross-Layer Position-Based Routing Protocol with Dynamic Bitrate Adaptation for FANETs,Hue University Journal,137,2025,[]
GPSR-CB: A novel routing algorithm for FANET using cross-layer models in combination with multi-level backbone UAV,"Ad Hoc Networks, SCIE Q1",138,2025,[]
QLR-FANET: A Q-learning and rate control-based routing protocol for flying ad hoc network,"ETRI Journal, SCIE Q2",139,2025,['et al.']
RLMR: MỘT PHƯƠNG PHÁP ÁP DỤNG HỌC TĂNG CƯỜNG CHO ĐỊNH TUYẾN TRONG MẠNG TÙY BIẾN DI ĐỘNG,FAIR2023,140,2023,
Điều chỉnh tham số thời gian hiệu lực trong giao thức OLSR nhằm cải thiện hiệu năng FANET,"Tạp chí Khoa học và Công nghệ, Trường Đại học Khoa học, Đại học Huế, Tập 22(1B), Trang 105-116",141,2023,
Một giải pháp phát hiện tấn công lỗ đen dựa trên giao thức T3-AODV của mạng MANET,"Hội nghị khoa học quốc gia lần thứ XIV về ""Nghiên cứu cơ bản và ứng dụng Công nghệ thông tin"""" (Fundamental and Applied Information Technology) - FAIR'2021""",142,2021,
Nền tảng mô phỏng tấn công mạng MANET – NTU_Attack,"Hội thảo Khoa học Khoa, Đề tài NCKH, 2020",143,2020,[]
Đánh giá một số thuật toán học máy ứng dụng trong triển khai hệ thống phát hiện tấn công website,"Hội thảo Công nghệ thông tin và truyền thông- ICT2020, 2020",144,2020,
Sinh tự động website học thuật cho giảng viên đại học,"Hội thảo Công nghệ thông tin và truyền thông- ICT2018, Đà Lạt, 2017",145,2017,
Xây dựng và triển khai một số giải pháp nhằm phát triển và nâng cao chất lượng hệ thống thông tin trên website của Trường Đại học Nha Trang theo yêu cầu của các tổ chức kiểm định chất lượng giáo dục,"Tạp chí Khoa học Đại học Văn Lang, 2015, ISSN 2525-2429",146,2015,
Truy vấn thông tin trong tiếng nói tiếng Việt,Luận văn tốt nghiệp -Sau đại học – ĐHBK Hà Nội,147,2011,[]
Xây dựng công cụ và / để đánh giá quy luật biến thiên biên độ tín hiệu tiếng nói theo các thanh điệu tiếng Việt,Đồ án tốt nghiệp ĐHBK Hà Nội,148,2003,[]
Efficient Data Delivery Scheme for Large-Scale Microservices in Distributed Cloud Environment,"Appl. Sci. 2023, 13, 886. https://doi.org/10.3390/app13020886",151,2023,
Modeling Data Redundancy and Cost-Aware Task Allocation in MEC-Enabled Internet-of-Vehicles Applications,"IEEE Internet of Things Journal, vol. 8, no. 3, pp. 1687-1701, 1 Feb.1, 2021",152,2021,
Efficient Solution for Large-Scale IoT Applications with Proactive Edge-Cloud Publish/Subscribe Brokers Clustering,"Sensors 2021, 21, 8232. https://doi.org/10.3390/s21248232",153,2021,
Efficient Edge-Cloud Publish/Subscribe Broker Overlay Networks to Support Latency-Sensitive Wide-Scale IoT Applications,"Symmetry 2020, 12, 3. https://doi.org/10.3390/sym12010003",154,2020,
An Efficient Edge-Cloud Publish/Subscribe Model for Large-Scale IoT Applications,"IMCOM 2019. Advances in Intelligent Systems and Computing, vol 935. Springer, Cham",155,2019,
A Fog/Cloud based data delivery model for publish-subscribe systems,"2017 International Conference on Information Networking (ICOIN), Da Nang, Vietnam, 2017, pp. 477-479",156,2017,
Clustering Vietnamese conversations from facebook page to build training dataset for chatbot,Jordanian Journal of Computers and Information Technology,225,2022,
Efficient data delivery scheme for large-scale microservices in distributed cloud environment,,227,2023,
"Xây dựng và triển khai đánh giá bài thí nghiệm ảo ""Định lượng chlorophyll bằng phương pháp quang phổ"" tại Trường Đại học Nha Trang",,228,2023,
Khảo sát điều kiện môi trường trong nhân giống sa nhân tím (Amomum longiligulare t.l.) dưới sự giám sát và điều khiển của hệ thống tự động IoT,,229,2023,
Ứng dụng công nghệ thông tin để quản lý cơ sở dữ liệu Nghệ thuật Bài Chòi ở Khánh hòa,,232,2024,
Giải pháp ứng dụng công nghệ thông tin trong quá trình tự đánh giá chương trình đào tạo,,233,2022,
Xử lý ý kiến phản hồi của người học dựa trên phương pháp phân loại văn bản,,234,2020,
Ontology-Based Parallel Splitting for Key Player Identification,,236,2025,
Apply and improve the association rules in predicting national high school admission scores to Nha Trang University,,237,2024,
Social Network Recommendations for Friends with Neo4j Graph Database,,238,2023,
Enhancing owl ontologies matching based on semantic similarity measurement,,239,2022,
Thuật toán xác định độ tin cậy giữa bạn bè trên mạng xã hội dựa vào ontology,,240,2018,
An improvement method for semantic mapping database to ontology,,241,2018,
"Xây dựng khung cơ sở dữ liệu số về hải dương, môi trường vùng biển Ninh Thuận - Bình Thuận",,242,2017,
Chuyển đổi nhân tự động trong thị giác máy tính cho bài toán điểm tôm giống,,245,2025,
Phát hiện gian lận trong quá trình kiểm tra đánh giá trên nền tảng NTU E-Learning tại Trường ĐH Nha Trang sử dụng thị giác máy tính,,246,2024,
"Một giải pháp hỗ trợ phân tích, đánh giá câu hỏi trắc nghiệm khách quan trên hệ thống MOODLE theo mô hình IRT",,247,2022,
Cách mạng công nghiệp 4.0 động lực mới để chuyển đổi giáo dục,,248,2018,
Recommender system with Apache Spark,,251,2024,
Ảnh hưởng của giá trị sang trọng đến sẵn lòng chi trả và truyền miệng đối với khách sạn hạng sang; Vai trò của sự hài lòng,,252,2024,
Một số giải pháp giúp sinh viên học tốt các môn chuyên ngành bằng tiếng Anh,,253,2023,
Thực trạng và giải pháp hỗ trợ soạn thảo văn bản hành chính tại Trường Đại học Nha Trang,,254,2022,
Những hoạt động liên quan của giảng viên với phương pháp EMI (English as a medium of instruction) khi giảng dạy các môn chuyên ngành bằng tiếng anh,,255,2021,
Góc nhìn của giảng viên và sinh viên về việc lồng ghép kỹ năng nghề nghiệp vào giảng dạy tại Trường Đại học Nha Trang,,258,2025,
Bridging the Gap: Integrating Employability Skills - From Course Syllabi to Classroom Instruction,,259,2025,
QLR‐FANET: A Q‐learning and rate control‐based routing protocol for flying ad hoc network,,261,2024,
Nhận dạng các tư thế con người từ dữ liệu cảm biến độ sâu sử dụng đặc trưng khoản cách và màu da,,266,2017,
Tổng hợp Tiếng Việt có cảm xúc,,267,2017,
Xác định các thông số của mô hình động học về sự phát triển của vi sinh vật gây hỏng và chỉ thị vệ sinh trên tôm sú cuối chuỗi cung ứng lạnh,,272,2021,
Ứng dụng trí tuệ nhân tạo trong tự động hóa nhận dạng bệnh trên tôm sú,,274,2024,
Predicting Community Health Through Heterogeneous Social Networks,,275,2023,
A graph-based approach for population health analysis using Geo-tagged tweets,,276,2020,
An Empirical Study on Prediction of Population Health through Social Media,,277,2019,
GraphDTA: Predicting drug–target binding affinity with graph neural networks,,278,2020,
A community-aware graph neural network applied to geographical location-based representation learning and clustering within GIS,,280,2025,
Geospatial Data Clustering in Network Space: A Survey,,281,2025,
NS-IDBSCAN: An Efficient Incremental Clustering Method for Geospatial Data in Network Space,,282,2024,
Efficient strategies for spatial data clustering using topological relations,,283,2024,
An efficient topological-based clustering method on spatial data in network space,,284,2022,
Giải pháp công nghệ thông tin và truyền thông cho mô hình đào tạo kết hợp tại trường Đại học Nha Trang,,285,2021,
A method for efficient clustering of spatial data in network space,,286,2021,
Phương pháp luận sáng tạo - Một năng lực cần trang bị cho sinh viên trong kỷ nguyên 4.0,,287,2021,
Giải pháp thúc đẩy tinh thần tự học của sinh viên trong thời đại cách mạng công nghiệp 4.0,,288,2018,
Một vài đề xuất nhằm nâng cao chất lượng đào tạo nguồn nhân lực,,289,2017,
Mô hình hóa tri thức cho một cơ sở dữ liệu quan hệ bằng Ontology Web Language,,291,2017,
